BioSample ID,SRA Run ID,Population,Publication,Publication Sample ID,Lat,Lon
SAMEA4762870,ERR2678638,Europe,Barlow et al. 2018,Slovenia,46.445,14.01778
SAMN07422262,SRR5878348,Europe,Benazo et al. 2017,Italy1,42.03908,13.43847
SAMN07422262,SRR5878360,Europe,Benazo et al. 2017,Italy1,42.03908,13.43847
SAMN07422269,SRR5878353,Europe,Benazo et al. 2017,Slovakia1,48.14816,17.10674
SAMN07422269,SRR5878338,Europe,Benazo et al. 2017,Slovakia1,48.14816,17.10674
SAMN07422272,SRR5878346,Europe,Benazo et al. 2017,Slovenia1,46.15124,14.99546
SAMN07422272,SRR5878341,Europe,Benazo et al. 2017,Slovenia1,46.15124,14.99546
SAMN07422268,SRR5878351,Europe,Benazo et al. 2018,Greece1,39.07421,21.82431
SAMN07422268,SRR5878354,Europe,Benazo et al. 2018,Greece1,39.07421,21.82431
SAMN02045559,SRR830337,Alaska,Cahill et al. 2013,Alaska03,63.12989,-151.197
SAMN02045560,SRR830213,ABC Islands,Cahill et al. 2015,ABC10,57.44,-134.2
SAMN03247209,SRR1692419,ABC Islands,Cahill et al. 2015,ABC11,57.87083,-135.772
SAMN32301304,SRR22801890,ABC Islands, de Jong et al. 2023,ABC07,57.73333,-134.333
SAMN32301305,SRR22801879,ABC Islands, de Jong et al. 2023,ABC08,57.73333,-134.333
SAMN32301302,SRR22801902,North America, de Jong et al. 2023,ABC15,57.98417,-127.78800000000001
SAMN32301303,SRR22801901,North America, de Jong et al. 2023,ABC16,57.98417,-127.78800000000001
SAMN32301310,SRR22801856,Alaska, de Jong et al. 2023,Alaska07,68.143,-151.736
SAMN32301311,SRR22801845,Alaska, de Jong et al. 2023,Alaska09,68.143,-151.736
SAMN32301308,SRR22801818,Alaska, de Jong et al. 2023,Alaska11,68.143,-151.736
SAMN32301309,SRR22801807,Alaska, de Jong et al. 2023,Alaska12,68.143,-151.736
SAMN32301397,SRR22801839,Alaska, de Jong et al. 2023,AlaskaN1,70.29,-148.79
SAMN32301394,SRR22801842,Alaska, de Jong et al. 2023,AlaskaSW2,55.81,-166.66
SAMN32301395,SRR22801841,Alaska, de Jong et al. 2023,AlaskaSW3,55.81,-166.66
SAMN32301396,SRR22801840,Alaska, de Jong et al. 2023,AlaskaW1,66.94,-160.6
SAMN32301312,SRR22801900,Asia, de Jong et al. 2023,Amur1,52.43055,140.3289
SAMN32301313,SRR22801899,Asia, de Jong et al. 2023,Amur2,46.0321,136.677
SAMN32301314,SRR22801898,Asia, de Jong et al. 2023,Amur3,45.4562,137.185
SAMN32301316,SRR22801896,Asia, de Jong et al. 2023,Amur5,57.645,136.23
SAMN32301317,SRR22801895,North America, de Jong et al. 2023,Canada1,49.93,-117.627
SAMN32301318,SRR22801894,Hudson Bay, de Jong et al. 2023,Canada10,61.117,-94.05
SAMN32301319,SRR22801893,Hudson Bay, de Jong et al. 2023,Canada11,61.117,-94.05
SAMN32301320,SRR22801892,Hudson Bay, de Jong et al. 2023,Canada12,61.117,-94.05
SAMN32301321,SRR22801891,Hudson Bay, de Jong et al. 2023,Canada2,62.2373,-92.5922
SAMN32301322,SRR22801889,Hudson Bay, de Jong et al. 2023,Canada3,61.117,-94.05
SAMN32301323,SRR22801888,Hudson Bay, de Jong et al. 2023,Canada4,61.117,-94.05
SAMN32301324,SRR22801887,Hudson Bay, de Jong et al. 2023,Canada5,64.167,-95.5
SAMN32301325,SRR22801886,Hudson Bay, de Jong et al. 2023,Canada6,64.167,-95.5
SAMN32301326,SRR22801885,Hudson Bay, de Jong et al. 2023,Canada7,62.75,-92.0
SAMN32301327,SRR22801884,Hudson Bay, de Jong et al. 2023,Canada8,61.117,-94.05
SAMN32301334,SRR22801876,Eastern Europe, de Jong et al. 2023,Estonia1,59.008,26.226
SAMN32301335,SRR22801875,Eastern Europe, de Jong et al. 2023,Estonia2,59.2672,27.552
SAMN32301336,SRR22801874,Asia, de Jong et al. 2023,FarEast1,59.5638,150.8035
SAMN32301345,SRR22801836,Asia, de Jong et al. 2023,FarEast11,59.6,153.15
SAMN32301339,SRR22801871,Asia, de Jong et al. 2023,FarEast4,59.5638,150.8035
SAMN32301340,SRR22801870,Asia, de Jong et al. 2023,FarEast6,56.65,124.7
SAMN32301342,SRR22801867,Asia, de Jong et al. 2023,FarEast8,60.02505,123.3926
SAMN32301343,SRR22801838,Asia, de Jong et al. 2023,FarEast9,64.16806,116.4672
SAMN32301346,SRR22801835,Eastern Europe, de Jong et al. 2023,Finland2,61.6934,29.729
SAMN32301347,SRR22801834,Eastern Europe, de Jong et al. 2023,Finland3,61.91971,27.81635
SAMN32301358,SRR22801822,Scandinavia, de Jong et al. 2023,Norway1,69.96887,23.27165
SAMN32301360,SRR22801820,Scandinavia, de Jong et al. 2023,Norway3,69.4439,25.80482
SAMN32301361,SRR22801819,Scandinavia, de Jong et al. 2023,Norway4,69.4439,25.80482
SAMN32301366,SRR22801813,Europe, de Jong et al. 2023,Rumania1,44.43996,26.09631
SAMN32301367,SRR22801812,Europe, de Jong et al. 2023,Rumania2,44.43996,26.09631
SAMN32301368,SRR22801811,Europe, de Jong et al. 2023,Rumania3,44.43996,26.09631
SAMN32301369,SRR22801810,Europe, de Jong et al. 2023,Rumania4,44.43996,26.09631
SAMN32301370,SRR22801809,Europe, de Jong et al. 2023,Rumania5,44.43996,26.09631
SAMN32301373,SRR22801865,Scandinavia, de Jong et al. 2023,SouthNorway1,60.83333,11.6666
SAMN32301374,SRR22801864,Scandinavia, de Jong et al. 2023,SouthNorway2,60.83333,11.6666
SAMN32301376,SRR22801862,Scandinavia, de Jong et al. 2023,SouthNorway4,63.16666,10.3333
SAMN32301377,SRR22801861,Scandinavia, de Jong et al. 2023,SouthNorway5,63.16666,10.3333
SAMN32301378,SRR22801860,Scandinavia, de Jong et al. 2023,SouthNorway6,63.16666,10.3333
SAMN32301379,SRR22801859,Scandinavia, de Jong et al. 2023,SouthNorway7,63.16666,10.3333
SAMN32301381,SRR22801857,Eastern Europe, de Jong et al. 2023,Ural1,58.0,56.31667
SAMN32301382,SRR22801855,Eastern Europe, de Jong et al. 2023,Ural2,58.0,56.31667
SAMN32301383,SRR22801854,Eastern Europe, de Jong et al. 2023,Ural3,58.0,56.31667
SAMN32301384,SRR22801853,Eastern Europe, de Jong et al. 2023,Ural4,58.0,56.31667
SAMN32301385,SRR22801852,Eastern Europe, de Jong et al. 2023,Ural5,60.3262,56.423
SAMN32301387,SRR22801850,North America, de Jong et al. 2023,US1,44.0682,-114.742
SAMN32301388,SRR22801849,North America, de Jong et al. 2023,US2,48.1978,-114.316
SAMN32301389,SRR22801848,North America, de Jong et al. 2023,US3,44.03971,-109.541
SAMN32301390,SRR22801847,North America, de Jong et al. 2023,US6,48.8,-117.255
SAMN32301391,SRR22801846,North America, de Jong et al. 2023,US8,44.56,-111.444
SAMN02256316,SRR935596,ABC Islands,Liu et al. 2014,ABC01,56.9508,-134.942
SAMN02256316,SRR941809,ABC Islands,Liu et al. 2014,ABC01,56.9508,-134.942
SAMN02256316,SRR935603,ABC Islands,Liu et al. 2014,ABC01,56.9508,-134.942
SAMN02256316,SRR935610,ABC Islands,Liu et al. 2014,ABC01,56.9508,-134.942
SAMN02256316,SRR941812,ABC Islands,Liu et al. 2014,ABC01,56.9508,-134.942
SAMN02256316,SRR935618,ABC Islands,Liu et al. 2014,ABC01,56.9508,-134.942
SAMN02256317,SRR935620,ABC Islands,Liu et al. 2014,ABC02,56.9508,-134.942
SAMN02256317,SRR935629,ABC Islands,Liu et al. 2014,ABC02,56.9508,-134.942
SAMN02256317,SRR935597,ABC Islands,Liu et al. 2014,ABC02,56.9508,-134.942
SAMN02256317,SRR935604,ABC Islands,Liu et al. 2014,ABC02,56.9508,-134.942
SAMN02256317,SRR935611,ABC Islands,Liu et al. 2014,ABC02,56.9508,-134.942
SAMN02256318,SRR935605,ABC Islands,Liu et al. 2014,ABC03,57.87083,-135.772
SAMN02256318,SRR935612,ABC Islands,Liu et al. 2014,ABC03,57.87083,-135.772
SAMN02256318,SRR941786,ABC Islands,Liu et al. 2014,ABC03,57.87083,-135.772
SAMN02256318,SRR935598,ABC Islands,Liu et al. 2014,ABC03,57.87083,-135.772
SAMN02256318,SRR935621,ABC Islands,Liu et al. 2014,ABC03,57.87083,-135.772
SAMN02256320,SRR935607,ABC Islands,Liu et al. 2014,ABC05,57.87083,-135.772
SAMN02256320,SRR935623,ABC Islands,Liu et al. 2014,ABC05,57.87083,-135.772
SAMN02256320,SRR935600,ABC Islands,Liu et al. 2014,ABC05,57.87083,-135.772
SAMN02256320,SRR941808,ABC Islands,Liu et al. 2014,ABC05,57.87083,-135.772
SAMN02256320,SRR935614,ABC Islands,Liu et al. 2014,ABC05,57.87083,-135.772
SAMN02256321,SRR935615,ABC Islands,Liu et al. 2014,ABC06,57.73333,-134.333
SAMN02256321,SRR935619,ABC Islands,Liu et al. 2014,ABC06,57.73333,-134.333
SAMN02256321,SRR935601,ABC Islands,Liu et al. 2014,ABC06,57.73333,-134.333
SAMN02256321,SRR935608,ABC Islands,Liu et al. 2014,ABC06,57.73333,-134.333
SAMN02256321,SRR941810,ABC Islands,Liu et al. 2014,ABC06,57.73333,-134.333
SAMN02256321,SRR941813,ABC Islands,Liu et al. 2014,ABC06,57.73333,-134.333
SAMN02256315,SRR935628,Eastern Europe,Liu et al. 2014,Finland,61.28333,28.83333
SAMN02256315,SRR935592,Eastern Europe,Liu et al. 2014,Finland,61.28333,28.83333
SAMN02256315,SRR935624,Eastern Europe,Liu et al. 2014,Finland,61.28333,28.83333
SAMN02256315,SRR935595,Eastern Europe,Liu et al. 2014,Finland,61.28333,28.83333
SAMN02256322,SRR935617,North America,Liu et al. 2014,Montana,46.96526,-109.534
SAMN02256322,SRR935602,North America,Liu et al. 2014,Montana,46.96526,-109.534
SAMN02256322,SRR941814,North America,Liu et al. 2014,Montana,46.96526,-109.534
SAMN02256322,SRR935609,North America,Liu et al. 2014,Montana,46.96526,-109.534
SAMN02256322,SRR941811,North America,Liu et al. 2014,Montana,46.96526,-109.534
SAMN02256322,SRR935616,North America,Liu et al. 2014,Montana,46.96526,-109.534
SAMN02256314,SRR935625,Scandinavia,Liu et al. 2014,NorthSweden,66.60665,19.82324
SAMN02256314,SRR935627,Scandinavia,Liu et al. 2014,NorthSweden,66.60665,19.82324
SAMN02256314,SRR935591,Scandinavia,Liu et al. 2014,NorthSweden,66.60665,19.82324
SAMN01057688,SRR518710,ABC Islands,Miller et al. 2012,ABC13,57.44,-134.2
SAMN01057688,SRR518711,ABC Islands,Miller et al. 2012,ABC13,57.44,-134.2
SAMN01057690,SRR518712,Alaska,Miller et al. 2012,Alaska02,60.55444,-151.258
SAMN01057690,SRR518713,Alaska,Miller et al. 2012,Alaska02,60.55444,-151.258
SAMN09907428,SRR7758718,North America,Taylor et al. 2018,TorontoZoo,58.747,-128.878
